TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE,NOMINAL
CNY,2016-08-05,,,,10.0009,,,1
CZK,2016-08-05,,,,27.3531,,,10
DKK,2016-08-05,,,,99.3998,,,10
EUR,2016-08-05,,,,73.9232,,,1
GBP,2016-08-05,,,,88.2245,,,1
HUF,2016-08-05,,,,23.7674,,,100
INR,2016-08-05,,,,99.1771,,,100
JPY,2016-08-05,,,,65.4936,,,100
KGS,2016-08-05,,,,98.8743,,,100
KRW,2016-08-05,,,,59.6067,,,1000
KZT,2016-08-05,,,,18.8606,,,100
MDL,2016-08-05,,,,33.6513,,,10
NOK,2016-08-05,,,,78.4124,,,10
PLN,2016-08-05,,,,17.2184,,,1
RON,2016-08-05,,,,16.5965,,,1
SEK,2016-08-05,,,,77.6657,,,10
SGD,2016-08-05,,,,49.4629,,,1
TJS,2016-08-05,,,,84.6324,,,10
TMT,2016-08-05,,,,19.7631,,,1
TRY,2016-08-05,,,,21.9863,,,1
UAH,2016-08-05,,,,26.7637,,,10
USD,2016-08-05,,,,66.3941,,,1
UZS,2016-08-05,,,,22.3775,,,1000
XDR,2016-08-05,,,,93.046,,,1
ZAR,2016-08-05,,,,48.0142,,,10
AMD,2016-08-06,,,,13.7708,,,100
AUD,2016-08-06,,,,50.162,,,1
AZN,2016-08-06,,,,40.6263,,,1
BGN,2016-08-06,,,,37.3449,,,1
BRL,2016-08-06,,,,20.5597,,,1
BYN,2016-08-06,,,,33.1376,,,1
CAD,2016-08-06,,,,50.3476,,,1
CHF,2016-08-06,,,,67.2783,,,1
CNY,2016-08-06,,,,98.6558,,,10
CZK,2016-08-06,,,,27.0284,,,10
DKK,2016-08-06,,,,98.2095,,,10
EUR,2016-08-06,,,,73.0303,,,1
GBP,2016-08-06,,,,86.1822,,,1
HUF,2016-08-06,,,,23.4718,,,100
INR,2016-08-06,,,,98.1771,,,100
JPY,2016-08-06,,,,64.8397,,,100
KGS,2016-08-06,,,,95.6956,,,100
KRW,2016-08-06,,,,59.1257,,,1000
KZT,2016-08-06,,,,18.7783,,,100
MDL,2016-08-06,,,,33.2637,,,10
NOK,2016-08-06,,,,77.7039,,,10
PLN,2016-08-06,,,,17.0226,,,1
RON,2016-08-06,,,,16.3784,,,1
SEK,2016-08-06,,,,76.9425,,,10
SGD,2016-08-06,,,,48.8836,,,1
TJS,2016-08-06,,,,83.3601,,,10
TMT,2016-08-06,,,,19.5127,,,1
TRY,2016-08-06,,,,21.8121,,,1
UAH,2016-08-06,,,,26.4339,,,10
USD,2016-08-06,,,,65.5627,,,1
UZS,2016-08-06,,,,22.1271,,,1000
XDR,2016-08-06,,,,91.6409,,,1
ZAR,2016-08-06,,,,47.9067,,,10
AMD,2016-08-09,,,,13.678,,,100
AUD,2016-08-09,,,,49.6755,,,1
AZN,2016-08-09,,,,40.2598,,,1
BGN,2016-08-09,,,,36.8934,,,1
BRL,2016-08-09,,,,20.5734,,,1
BYN,2016-08-09,,,,33.0691,,,1
CAD,2016-08-09,,,,49.4566,,,1
CHF,2016-08-09,,,,66.3539,,,1
CNY,2016-08-09,,,,97.6838,,,10
CZK,2016-08-09,,,,26.6918,,,10
DKK,2016-08-09,,,,97.04,,,10
EUR,2016-08-09,,,,72.1476,,,1
GBP,2016-08-09,,,,84.9358,,,1
HUF,2016-08-09,,,,23.2113,,,100
INR,2016-08-09,,,,97.4688,,,100
JPY,2016-08-09,,,,63.6167,,,100
KGS,2016-08-09,,,,94.7837,,,100
KRW,2016-08-09,,,,58.7507,,,1000
KZT,2016-08-09,,,,18.7025,,,100
MDL,2016-08-09,,,,32.9019,,,10
NOK,2016-08-09,,,,76.6241,,,10
PLN,2016-08-09,,,,16.8317,,,1
RON,2016-08-09,,,,16.1802,,,1
SEK,2016-08-09,,,,75.8534,,,10
SGD,2016-08-09,,,,48.2932,,,1
TJS,2016-08-09,,,,82.7462,,,10
TMT,2016-08-09,,,,19.369,,,1
TRY,2016-08-09,,,,21.7782,,,1
UAH,2016-08-09,,,,26.2155,,,10
USD,2016-08-09,,,,65.0799,,,1
UZS,2016-08-09,,,,21.9166,,,1000
XDR,2016-08-09,,,,90.9335,,,1
ZAR,2016-08-09,,,,47.6951,,,10
AMD,2016-08-10,,,,13.6138,,,100
AUD,2016-08-10,,,,49.5928,,,1
AZN,2016-08-10,,,,40.0772,,,1
BGN,2016-08-10,,,,36.7073,,,1
BRL,2016-08-10,,,,20.4388,,,1
BYN,2016-08-10,,,,32.9862,,,1
CAD,2016-08-10,,,,49.2099,,,1
CHF,2016-08-10,,,,65.8449,,,1
CNY,2016-08-10,,,,97.2467,,,10
CZK,2016-08-10,,,,26.5588,,,10
DKK,2016-08-10,,,,96.5424,,,10
EUR,2016-08-10,,,,71.7556,,,1
GBP,2016-08-10,,,,84.2202,,,1
HUF,2016-08-10,,,,23.0962,,,100
INR,2016-08-10,,,,96.7732,,,100
JPY,2016-08-10,,,,63.3066,,,100
KGS,2016-08-10,,,,94.3353,,,100
KRW,2016-08-10,,,,58.5519,,,1000
KZT,2016-08-10,,,,18.7026,,,100
MDL,2016-08-10,,,,32.8086,,,10
NOK,2016-08-10,,,,76.3351,,,10
PLN,2016-08-10,,,,16.8189,,,1
RON,2016-08-10,,,,16.1048,,,1
SEK,2016-08-10,,,,75.5085,,,10
SGD,2016-08-10,,,,48.0528,,,1
TJS,2016-08-10,,,,82.2142,,,10
TMT,2016-08-10,,,,18.4867,,,1
TRY,2016-08-10,,,,21.7129,,,1
UAH,2016-08-10,,,,26.1124,,,10
USD,2016-08-10,,,,64.7848,,,1
UZS,2016-08-10,,,,21.872,,,1000
XDR,2016-08-10,,,,90.1837,,,1
ZAR,2016-08-10,,,,47.6836,,,10
